V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q13,Q14,Q15,Q16,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Do you support/oppose a minimum wage increase?,Do you support/oppose transgender rights?,Do you support/oppose marijuana legalization?,"Last November, students at the Woodrow Wilson School of Princeton demanded that the university re...",Do you support/oppose single-payer healthcare?,Do you support/oppose mandatory minimum sentences?,Do you support/oppose the Iran deal?,Do you support/oppose the TPP (trans-pacific partnership)?,Do you support/oppose a ban on assault rifles?,Do you support/oppose requiring a photo ID to vote?,Do you support/oppose affirmative action?,Do you support/oppose accepting refugees from Syria?,"Do you support/oppose subsidizing energy sources such as wind, solar, and hydro?",Do you support/oppose U.S. support for Israel?,Do you support/oppose U.S. support for Saudi Arabia?,Do you support/oppose Tufts divesting from fossil fuels?,LocationLatitude,LocationLongitude,LocationAccuracy,
R_31zpDe9gY4ycu2r,Default Response Set,Anonymous,,,,9,2016-02-26 15:08:22,2016-02-26 15:08:22,1,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1,
R_30dgaggK5RM2zxB,Default Response Set,Anonymous,,,,9,2016-02-26 15:08:22,2016-02-26 15:08:22,1,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1,
R_1HkOQpZ6lauUfSO,Default Response Set,Anonymous,,,,9,2016-02-26 15:08:54,2016-02-26 15:08:54,1,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1,
R_1NyooDETojAsPhf,Default Response Set,Anonymous,,,,9,2016-02-26 15:08:54,2016-02-26 15:08:54,1,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1,
R_2YM5uSaKbbmE0yU,Default Response Set,Anonymous,,,,9,2016-02-26 15:09:09,2016-02-26 15:09:09,1,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1,
R_2qlKYXPZ8mC0rS2,Default Response Set,Anonymous,,,,9,2016-02-26 15:09:09,2016-02-26 15:09:09,1,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1,
R_3G0AvBxxURL3OK6,Default Response Set,Anonymous,,,,1,2016-02-26 16:12:37,2016-02-26 16:12:37,1,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1,
R_3QJbt1qssemKXYU,Default Response Set,Anonymous,,,,9,2016-02-26 16:12:37,2016-02-26 16:12:37,1,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1,
R_1PXJJMdbkaUIMG3,Default Response Set,Anonymous,,,,9,2016-02-26 16:29:29,2016-02-26 16:29:29,1,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1,
